zip5,county,county_fips,metro,cd_2026_map,cd_share,cd_seed_2024_map,state_senate,state_house,changed
33182,Miami-Dade,12086,miami,FL-26,0.446,FL-26|FL-28,SD-39,HD-111,no
33183,Miami-Dade,12086,miami,FL-28,0.994,FL-27|FL-28,SD-40|SD-38,HD-118|HD-116,yes
33184,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40|SD-39,HD-111|HD-118,no
33185,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40,HD-119,no
33186,Miami-Dade,12086,miami,FL-28,0.999,FL-27|FL-28,SD-40|SD-38,HD-118|HD-119,yes
33187,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40,HD-120|HD-119,no
33189,Miami-Dade,12086,miami,FL-27,0.913,FL-27|FL-28,SD-38,HD-115|HD-117,no
33189,Miami-Dade,12086,miami,FL-28,0.087,FL-27|FL-28,SD-38,HD-115|HD-117,no
33190,Miami-Dade,12086,miami,FL-27,0.746,FL-27|FL-28,SD-38,HD-115|HD-120,no
33190,Miami-Dade,12086,miami,FL-28,0.254,FL-27|FL-28,SD-38,HD-115|HD-120,no
33193,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40,HD-119|HD-120,no
33194,Miami-Dade,12086,miami,FL-28,0.994,FL-28,SD-40,HD-120,no
33196,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40,HD-120|HD-119,no
33301,Broward,12011,fort_lauderdale,FL-25,0.597,FL-23,SD-37|SD-32,HD-100,yes
33301,Broward,12011,fort_lauderdale,FL-20,0.403,FL-23,SD-37|SD-32,HD-100,yes
33304,Broward,12011,fort_lauderdale,FL-20,0.646,FL-23,SD-37|SD-32,HD-100|HD-99,yes
33304,Broward,12011,fort_lauderdale,FL-25,0.354,FL-23,SD-37|SD-32,HD-100|HD-99,yes
33305,Broward,12011,fort_lauderdale,FL-20,0.682,FL-23,SD-37|SD-32,HD-100|HD-99,yes
33305,Broward,12011,fort_lauderdale,FL-25,0.318,FL-23,SD-37|SD-32,HD-100|HD-99,yes
33306,Broward,12011,fort_lauderdale,FL-25,0.651,FL-23,SD-37|SD-32,HD-100|HD-98|HD-99,yes
33306,Broward,12011,fort_lauderdale,FL-20,0.349,FL-23,SD-37|SD-32,HD-100|HD-98|HD-99,yes
33308,Broward,12011,fort_lauderdale,FL-25,0.953,FL-23,SD-37,HD-100,yes
33309,Broward,12011,fort_lauderdale,FL-20,1.0,FL-20|FL-23,SD-32,HD-98|HD-97,yes
33311,Broward,12011,fort_lauderdale,FL-20,1.0,FL-20|FL-23,SD-32|SD-37,HD-99|HD-98,yes
33312,Broward,12011,fort_lauderdale,FL-25,0.696,FL-20|FL-23|FL-25,SD-37|SD-32,HD-99|HD-101,yes
33312,Broward,12011,fort_lauderdale,FL-20,0.304,FL-20|FL-23|FL-25,SD-37|SD-32,HD-99|HD-101,yes
33313,Broward,12011,fort_lauderdale,FL-20,1.0,FL-20,SD-32,HD-97|HD-99,no
33314,Broward,12011,fort_lauderdale,FL-22,0.358,FL-25,SD-35|SD-37,HD-101,yes
33314,Broward,12011,fort_lauderdale,FL-25,0.327,FL-25,SD-35|SD-37,HD-101,yes
33314,Broward,12011,fort_lauderdale,FL-26,0.316,FL-25,SD-35|SD-37,HD-101,yes
33315,Broward,12011,fort_lauderdale,FL-25,0.894,FL-23|FL-25,SD-37|SD-32,HD-101|HD-99,yes
33315,Broward,12011,fort_lauderdale,FL-20,0.106,FL-23|FL-25,SD-37|SD-32,HD-101|HD-99,yes
33316,Broward,12011,fort_lauderdale,FL-25,1.0,FL-23|FL-25,SD-37,HD-100|HD-101,yes
33317,Broward,12011,fort_lauderdale,FL-20,0.493,FL-20|FL-25,SD-32|SD-37|SD-35,HD-99|HD-101,yes
